column,dtype,description,source,transformation,availability_at_prediction_time,modeling_role,included_in_analytical,included_in_model_ready,notes
unberthing_ts,datetime64[ns],Timestamp when the vessel unberthed after port operation.,Porto Sem Papel vessel-stay records,Parsed timestamp from vessel-stay records; consolidated using first/last event rules.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
departure_port_ts,datetime64[ns],Timestamp when the vessel departed the port.,Porto Sem Papel vessel-stay records,Parsed timestamp from vessel-stay records; consolidated using first/last event rules.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
port_display,string,Historical readable port label from the internal port reference; excluded from public Kaggle v1 due to manual geography provenance.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
source_port_display,string,Readable label for the reported previous port.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
destination_port_display,string,Readable label for the reported next port.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
has_arrival_port_ts,bool,Internal quality-control indicator for presence of arrival port ts.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
has_berthing_ts,bool,Internal quality-control indicator for presence of berthing ts.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
has_unberthing_ts,bool,Internal quality-control indicator for presence of unberthing ts.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
has_departure_port_ts,bool,Internal quality-control indicator for presence of departure port ts.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_arrival_after_berthing,bool,Internal quality-control flag: flag arrival after berthing.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_berthing_after_unberthing,bool,Internal quality-control flag: flag berthing after unberthing.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_unberthing_after_departure,bool,Internal quality-control flag: flag unberthing after departure.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
tmp_wait_for_berthing_h,float64,Temporary duration check used by quality control: tmp wait for berthing h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
tmp_operation_h,float64,Temporary duration check used by quality control: tmp operation h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
tmp_post_operation_h,float64,Temporary duration check used by quality control: tmp post operation h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
tmp_total_port_stay_h,float64,Temporary duration check used by quality control: tmp total port stay h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_negative_tmp_wait_for_berthing_h,bool,Internal quality-control flag: flag negative tmp wait for berthing h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_negative_tmp_operation_h,bool,Internal quality-control flag: flag negative tmp operation h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_negative_tmp_post_operation_h,bool,Internal quality-control flag: flag negative tmp post operation h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_negative_tmp_total_port_stay_h,bool,Internal quality-control flag: flag negative tmp total port stay h.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_wait_too_long,bool,Internal quality-control flag: flag wait too long.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_operation_too_long,bool,Internal quality-control flag: flag operation too long.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_total_too_long,bool,Internal quality-control flag: flag total too long.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
flag_arrival_before_min_date,bool,Internal quality-control flag: flag arrival before min date.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
eligible_for_eda,bool,Internal quality-control indicator marking port calls that passed the academic EDA eligibility filters.,Derived by project pipeline,Internal quality-control flag or temporary duration used before target creation.,no,leakage_do_not_use,False,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_wait_for_berthing_h,float64,Waiting time in hours from port arrival to berthing.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_operation_h,float64,Operation time in hours from berthing to unberthing.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_post_operation_h,float64,Post-operation time in hours from unberthing to port departure.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_total_port_stay_h,float64,"Total vessel port stay in hours, from arrival_port_ts to departure_port_ts.",Derived by project pipeline,"Computed as departure_port_ts minus arrival_port_ts, expressed in hours after quality filters.",not_applicable,target,True,True,Main supervised-learning target.
t_wait_for_berthing_d,float64,Duration t_wait_for_berthing_h expressed in days for descriptive analysis.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_operation_d,float64,Duration t_operation_h expressed in days for descriptive analysis.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_post_operation_d,float64,Duration t_post_operation_h expressed in days for descriptive analysis.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_total_port_stay_d,float64,Total vessel port stay expressed in days for descriptive analysis.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
log_t_wait_for_berthing_h,float64,"Log-transformed version of t_wait_for_berthing_h, using log1p.",Derived by project pipeline,log1p transformation of the corresponding duration target.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
log_t_operation_h,float64,"Log-transformed version of t_operation_h, using log1p.",Derived by project pipeline,log1p transformation of the corresponding duration target.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
log_t_post_operation_h,float64,"Log-transformed version of t_post_operation_h, using log1p.",Derived by project pipeline,log1p transformation of the corresponding duration target.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
log_t_total_port_stay_h,float64,"Log-transformed version of t_total_port_stay_h, using log1p.",Derived by project pipeline,log1p transformation of the corresponding duration target.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_wait_for_berthing_h_high,bool,Descriptive severity flag derived from empirical quantiles of t_wait_for_berthing_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_wait_for_berthing_h_extreme,bool,Descriptive severity flag derived from empirical quantiles of t_wait_for_berthing_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_operation_h_high,bool,Descriptive severity flag derived from empirical quantiles of t_operation_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_operation_h_extreme,bool,Descriptive severity flag derived from empirical quantiles of t_operation_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_total_port_stay_h_high,bool,Descriptive severity flag derived from empirical quantiles of t_total_port_stay_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
t_total_port_stay_h_extreme,bool,Descriptive severity flag derived from empirical quantiles of t_total_port_stay_h.,Derived by project pipeline,Computed from post-arrival event timestamps or empirical target quantiles for EDA.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
arrival_year,int32,Calendar year of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,eda_only,True,False,
arrival_month,int32,Calendar month of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,eda_only,True,False,
arrival_quarter,int32,Calendar quarter of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
arrival_weekofyear,Int64,ISO week number of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
arrival_day,int32,Day of month of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,eda_only,True,False,
arrival_dayofweek,int32,"Day of week of arrival, where Monday is 0.",Derived by project pipeline,Derived from arrival_port_ts.,yes,eda_only,True,False,
arrival_hour,int32,Hour of day of arrival.,Derived by project pipeline,Derived from arrival_port_ts.,yes,eda_only,True,False,
arrival_is_weekend,Int64,Indicator equal to 1 when arrival occurred on Saturday or Sunday.,Derived by project pipeline,Derived from arrival_port_ts.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
arrival_shift,object,"Arrival shift label: night, morning, afternoon, or evening.",Derived by project pipeline,Derived from arrival_port_ts.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
arrival_season,object,Southern Hemisphere season for the arrival month.,Derived by project pipeline,Derived from arrival_port_ts.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_abastecimento_bunker,bool,Boolean flag indicating whether the declared operation type includes abastecimento bunker.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_arribada,bool,Boolean flag indicating whether the declared operation type includes arribada.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_carga,bool,Boolean flag indicating whether the declared operation type includes carga.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_descarga,bool,Boolean flag indicating whether the declared operation type includes descarga.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_desembarque_passageiros,bool,Boolean flag indicating whether the declared operation type includes desembarque passageiros.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_embarque_passageiros,bool,Boolean flag indicating whether the declared operation type includes embarque passageiros.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_fundeio,bool,Boolean flag indicating whether the declared operation type includes fundeio.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_fundeio_ship_to_ship,bool,Boolean flag indicating whether the declared operation type includes fundeio ship to ship.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_navio_estado_com_operacao_comercial,bool,Boolean flag indicating whether the declared operation type includes navio estado com operacao comercial.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_navio_estado_marinha_brasil,bool,Boolean flag indicating whether the declared operation type includes navio estado marinha brasil.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_navio_estado_sem_operacao_comercial,bool,Boolean flag indicating whether the declared operation type includes navio estado sem operacao comercial.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_offshore,bool,Boolean flag indicating whether the declared operation type includes offshore.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_reparo_manutencao,bool,Boolean flag indicating whether the declared operation type includes reparo manutencao.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_retirada_residuos_com_operacao_comercial,bool,Boolean flag indicating whether the declared operation type includes retirada residuos com operacao comercial.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_retirada_residuos_sem_operacao_comercial,bool,Boolean flag indicating whether the declared operation type includes retirada residuos sem operacao comercial.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_solicitacao_certificado,bool,Boolean flag indicating whether the declared operation type includes solicitacao certificado.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
op_tipo_operacao_nao_mapeado,bool,Boolean flag indicating whether the declared operation type includes tipo operacao nao mapeado.,Derived from Porto Sem Papel operation_type,Boolean flag parsed from the multi-label operation_type text field.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
avg_wait_prev_20_calls_port,float64,Exploratory historical proxy from the EDA pipeline: avg wait prev 20 calls port.,Derived by project pipeline,"Cleaned, standardized, or joined field from the project preparation pipeline.",no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
avg_operation_prev_20_calls_port,float64,Exploratory historical proxy from the EDA pipeline: avg operation prev 20 calls port.,Derived by project pipeline,"Cleaned, standardized, or joined field from the project preparation pipeline.",no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
std_wait_prev_20_calls_port,float64,Exploratory historical proxy from the EDA pipeline: std wait prev 20 calls port.,Derived by project pipeline,"Cleaned, standardized, or joined field from the project preparation pipeline.",no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
arrival_date,datetime64[ns],Calendar date of arrival at the port.,Derived by project pipeline,Derived from arrival_port_ts.,not_applicable,metadata,True,False,
arrivals_same_day_port,int64,Historical count or summary of vessel arrivals at the same port: arrivals same day port.,Derived by project pipeline,Reconstructed historical feature using a D-1 cutoff and only events known before the prediction timestamp.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
arrivals_prev_day_port,float64,Historical count or summary of vessel arrivals at the same port: arrivals prev day port.,Derived by project pipeline,Reconstructed historical feature using a D-1 cutoff and only events known before the prediction timestamp.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
arrivals_prev_7d_avg_port,float64,Historical count or summary of vessel arrivals at the same port: arrivals prev 7d avg port.,Derived by project pipeline,Reconstructed historical feature using a D-1 cutoff and only events known before the prediction timestamp.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
port_name_ref,string,Historical port name from the internal port reference used during the academic pipeline; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
port_display_ref,string,Historical display label from the internal port reference used during the academic pipeline; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
city,string,Historical manually enriched municipality associated with the port; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
latitude,float64,Historical manually enriched latitude used internally for weather collection; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
longitude,float64,Historical manually enriched longitude used internally for weather collection; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
latitude_r,float64,Rounded historical latitude used internally as a weather-merge key; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
longitude_r,float64,Rounded historical longitude used internally as a weather-merge key; excluded from public Kaggle v1.,Internal historical port reference; not redistributed in Kaggle v1,Historical manual geography/reference enrichment used internally by the academic pipeline; excluded from public Kaggle outputs.,not_applicable,metadata,False,False,Excluded from public Kaggle v1 because it depends on historical manual port-reference enrichment.
date,datetime64[ns],Weather date joined to the arrival date.,Derived by project pipeline,"Cleaned, standardized, or joined field from the project preparation pipeline.",not_applicable,metadata,False,False,
temperature_2m_mean,float64,Realized same-day weather measure for the arrival date: temperature 2m mean.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
temperature_2m_max,float64,Realized same-day weather measure for the arrival date: temperature 2m max.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
temperature_2m_min,float64,Realized same-day weather measure for the arrival date: temperature 2m min.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
precipitation_sum,float64,Realized same-day weather measure for the arrival date: precipitation sum.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
rain_sum,float64,Realized same-day weather measure for the arrival date: rain sum.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
precipitation_hours,float64,Realized same-day weather measure for the arrival date: precipitation hours.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
wind_speed_10m_max,float64,Realized same-day weather measure for the arrival date: wind speed 10m max.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
wind_gusts_10m_max,float64,Realized same-day weather measure for the arrival date: wind gusts 10m max.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
wind_direction_10m_dominant,int64,Realized same-day weather measure for the arrival date: wind direction 10m dominant.,Open-Meteo daily weather queried with internal historical port coordinates,Daily realized weather value joined by rounded port coordinates and arrival date.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
rain_sum_prev_1d,float64,Lagged historical weather measure before arrival: rain sum prev 1d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
precipitation_sum_prev_1d,float64,Lagged historical weather measure before arrival: precipitation sum prev 1d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
wind_speed_10m_max_prev_1d,float64,Lagged historical weather measure before arrival: wind speed 10m max prev 1d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
wind_gusts_10m_max_prev_1d,float64,Lagged historical weather measure before arrival: wind gusts 10m max prev 1d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
temperature_2m_mean_prev_1d,float64,Lagged historical weather measure before arrival: temperature 2m mean prev 1d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
rain_sum_prev_3d,float64,Lagged historical weather measure before arrival: rain sum prev 3d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
precipitation_hours_prev_3d,float64,Lagged historical weather measure before arrival: precipitation hours prev 3d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
temperature_2m_mean_prev_3d,float64,Lagged historical weather measure before arrival: temperature 2m mean prev 3d.,Open-Meteo daily weather queried with internal historical port coordinates,"Lagged weather history using shift(1), excluding the arrival day.",historical_only,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
